pgn,white,black,result,moves,white_acpl,black_acpl,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,118,118.0,3454.4,5.1,15.3,15,22,10,19,13,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,34,124.0,73.7,29.4,17.6,2,7,2,1,2,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,22,117.7,43.5,9.1,36.4,4,4,1,3,1,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,56,3619.6,7187.9,10.7,28.6,11,6,2,7,4,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,52,3967.8,7788.0,3.8,15.4,7,10,9,9,8,3
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,44,86.6,54.5,13.6,13.6,6,6,1,5,2,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,69,47.3,86.2,20.0,8.8,11,4,0,9,11,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,27,47.1,117.4,21.4,7.7,2,1,1,3,0,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,35,5563.5,121.9,22.2,11.8,3,2,2,2,8,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,55,3627.2,3798.1,17.9,7.4,4,8,5,5,10,7
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,59,60.3,86.6,26.7,10.3,11,3,1,8,11,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,25,29.0,102.3,46.2,8.3,1,0,1,2,3,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,17,22260.4,12535.4,11.1,0.0,1,2,1,2,2,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,35,79.6,130.9,22.2,11.8,6,3,1,0,5,5
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,47,61.7,118.7,8.3,0.0,6,7,0,7,5,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,73,52.6,78.8,13.5,5.6,5,7,0,9,10,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,68,3022.5,5947.1,20.6,17.6,7,12,5,16,6,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,42,4803.8,9565.0,14.3,19.0,8,4,2,5,1,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,38,5306.1,10578.8,15.8,15.8,1,7,3,3,5,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,42,104.8,9573.3,9.5,19.0,5,8,2,8,2,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,16,12544.4,25033.8,25.0,37.5,1,3,2,1,1,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,58,13754.5,17185.4,31.0,27.6,7,8,5,6,2,5
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,16,166.2,111.4,0.0,37.5,3,2,2,2,0,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,16,142.1,31.0,0.0,37.5,2,3,1,2,0,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,52,81.1,46.5,15.4,26.9,8,5,2,4,3,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,28,14298.1,14377.9,0.0,35.7,5,5,4,0,5,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,55,57.3,101.5,7.1,7.4,5,6,0,8,6,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,19,62.1,11161.9,40.0,0.0,3,1,1,1,2,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,41,9551.8,5025.1,33.3,10.0,3,1,1,6,4,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,95,147.9,161.6,14.6,0.0,6,14,15,5,20,16
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,41,29.0,73.7,19.0,15.0,4,1,0,9,3,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,29,46.1,83.4,26.7,14.3,3,1,1,5,3,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,43,4553.0,4812.9,22.7,0.0,5,3,2,7,7,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,93,4346.8,2280.0,14.9,6.5,13,10,6,7,12,12
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,63,113.6,140.9,6.2,29.0,4,5,7,8,4,8
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,19,38.7,137.7,30.0,0.0,3,0,0,3,2,2
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,104.4,65.8,0.0,25.0,2,3,1,0,3,0
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,34,111.2,82.7,17.6,35.3,3,1,4,4,2,2
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,52,101.3,69.6,7.7,23.1,8,6,2,8,3,2
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,26,7725.5,48.4,15.4,38.5,5,0,4,3,2,0
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,14,158.3,62.1,0.0,28.6,2,1,2,3,1,0
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,12545.1,25026.1,12.5,62.5,1,3,2,1,1,1
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,22,9188.7,18265.5,9.1,36.4,2,2,4,3,2,2
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,14,126.3,43.1,28.6,28.6,0,2,1,1,1,0
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,14,155.4,52.1,0.0,57.1,0,4,1,2,2,0
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,20,127.0,51.2,0.0,20.0,5,3,1,2,1,0
STOCKFISH_vs_PUTC_GRAVE.pgn,STOCKFISH,PUTC_GRAVE,1-0,13,44.9,158.5,42.9,16.7,2,1,0,1,2,2
STOCKFISH_vs_PUTC_GRAVE.pgn,STOCKFISH,PUTC_GRAVE,1-0,29,128.1,188.9,20.0,0.0,3,1,4,1,4,4
STOCKFISH_vs_PUTC_GRAVE.pgn,STOCKFISH,PUTC_GRAVE,1-0,33,68.9,140.6,23.5,6.2,2,6,1,3,5,3
STOCKFISH_vs_PUTC_GRAVE.pgn,STOCKFISH,PUTC_GRAVE,1-0,13,24.6,138.2,42.9,0.0,2,0,0,2,2,1
STOCKFISH_vs_PUTC_GRAVE.pgn,STOCKFISH,PUTC_GRAVE,1-0,45,72.4,106.8,26.1,9.1,4,4,2,9,4,2
STOCKFISH_vs_PUTC_GRAVE.pgn,STOCKFISH,PUTC_GRAVE,1-0,21,42.8,104.2,27.3,10.0,3,1,0,0,2,2
STOCKFISH_vs_PUTC_GRAVE.pgn,STOCKFISH,PUTC_GRAVE,1-0,27,48.6,87.9,35.7,23.1,3,1,1,6,1,1
STOCKFISH_vs_PUTC_GRAVE.pgn,STOCKFISH,PUTC_GRAVE,1-0,23,62.2,124.7,25.0,9.1,3,0,1,0,2,2
